Data,Horário,Estádio,Árbitro,Casa,GolsCasa,GolsVisitante,Visitante
13/01/2020,20:45,ENNIO TARDINI (Parma),MICHAEL FABBRI,Parma,2,0,Lecce
18/01/2020,15:00,OLIMPICO (Roma),DANIELE CHIFFI,Lazio,5,1,Sampdoria
18/01/2020,18:00,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),DAVIDE MASSA,Sassuolo,2,1,Torino
18/01/2020,20:45,SAN PAOLO (Napoli),FABRIZIO PASQUA,Napoli,0,2,Fiorentina
19/01/2020,12:30,GIUSEPPE MEAZZA (Milano),LUCA PAIRETTO,Milan,3,2,Udinese
19/01/2020,15:00,RENATO DALL'ARA (Bologna),GIOVANNI AYROLDI,Bologna,1,1,Hellas Verona
19/01/2020,15:00,MARIO RIGAMONTI (Brescia),ANTONIO GIUA,Brescia,2,2,Cagliari
19/01/2020,15:00,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),PIERO GIACOMELLI,Lecce,1,1,Inter
19/01/2020,18:00,LUIGI FERRARIS (Genova),FABIO MARESCA,Genoa,1,3,Roma
19/01/2020,20:45,ALLIANZ STADIUM (Torino),MARCO DI BELLO,Juventus,2,1,Parma
20/01/2020,20:45,GEWISS STADIUM (Bergamo),FEDERICO LA PENNA,Atalanta,1,2,Spal
24/01/2020,20:45,MARIO RIGAMONTI (Brescia),PAOLO VALERI,Brescia,0,1,Milan
25/01/2020,15:00,PAOLO MAZZA (Ferrara),MICHAEL FABBRI,Spal,1,3,Bologna
25/01/2020,18:00,ARTEMIO FRANCHI (Firenze),DANIELE ORSATO,Fiorentina,0,0,Genoa
25/01/2020,20:45,OLIMPICO GRANDE TORINO (Torino),MARCO GUIDA,Torino,0,7,Atalanta
26/01/2020,12:30,GIUSEPPE MEAZZA (Milano),GIANLUCA MANGANIELLO,Inter,1,1,Cagliari
26/01/2020,15:00,MARCANTONIO BENTEGODI (Verona),ROSARIO ABISSO,Hellas Verona,3,0,Lecce
26/01/2020,15:00,ENNIO TARDINI (Parma),SIMONE SOZZA,Parma,2,0,Udinese
26/01/2020,15:00,LUIGI FERRARIS (Genova),MARCO PICCININI,Sampdoria,0,0,Sassuolo
26/01/2020,18:00,OLIMPICO (Roma),GIANPAOLO CALVARESE,Roma,1,1,Lazio
26/01/2020,20:45,SAN PAOLO (Napoli),MAURIZIO MARIANI,Napoli,2,1,Juventus
01/02/2020,15:00,RENATO DALL'ARA (Bologna),DANIELE DOVERI,Bologna,2,1,Brescia
01/02/2020,18:00,UNIPOL DOMUS (Cagliari),MASSIMILIANO IRRATI,Cagliari,2,2,Parma
01/02/2020,20:45,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),LUCA PAIRETTO,Sassuolo,4,2,Roma
02/02/2020,12:30,ALLIANZ STADIUM (Torino),FABRIZIO PASQUA,Juventus,3,0,Fiorentina
02/02/2020,15:00,GEWISS STADIUM (Bergamo),DAVIDE MASSA,Atalanta,2,2,Genoa
02/02/2020,15:00,OLIMPICO (Roma),ANTONIO GIUA,Lazio,5,1,Spal
02/02/2020,15:00,GIUSEPPE MEAZZA (Milano),DANIELE CHIFFI,Milan,1,1,Hellas Verona
02/02/2020,18:00,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),GIANLUCA ROCCHI,Lecce,4,0,Torino
02/02/2020,20:45,DACIA ARENA - STADIO FRIULI (Udine),MARCO DI BELLO,Udinese,0,2,Inter
03/02/2020,20:45,LUIGI FERRARIS (Genova),FEDERICO LA PENNA,Sampdoria,2,4,Napoli
07/02/2020,20:45,OLIMPICO (Roma),MARCO GUIDA,Roma,2,3,Bologna
08/02/2020,15:00,ARTEMIO FRANCHI (Firenze),MAURIZIO MARIANI,Fiorentina,1,2,Atalanta
08/02/2020,18:00,OLIMPICO GRANDE TORINO (Torino),PAOLO VALERI,Torino,1,3,Sampdoria
08/02/2020,20:45,MARCANTONIO BENTEGODI (Verona),DAVIDE MASSA,Hellas Verona,2,1,Juventus
09/02/2020,12:30,PAOLO MAZZA (Ferrara),PIERO GIACOMELLI,Spal,1,2,Sassuolo
09/02/2020,15:00,MARIO RIGAMONTI (Brescia),MARCO PICCININI,Brescia,1,1,Udinese
09/02/2020,15:00,LUIGI FERRARIS (Genova),GIANPAOLO CALVARESE,Genoa,1,0,Cagliari
09/02/2020,15:00,SAN PAOLO (Napoli),ANTONIO GIUA,Napoli,2,3,Lecce
09/02/2020,18:00,ENNIO TARDINI (Parma),MARCO DI BELLO,Parma,0,1,Lazio
09/02/2020,20:45,GIUSEPPE MEAZZA (Milano),FABIO MARESCA,Inter,4,2,Milan
15/02/2020,15:00,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),MARCO GUIDA,Lecce,2,1,Spal
15/02/2020,18:00,RENATO DALL'ARA (Bologna),DAVIDE MASSA,Bologna,0,3,Genoa
15/02/2020,20:45,GEWISS STADIUM (Bergamo),DANIELE ORSATO,Atalanta,2,1,Roma
16/02/2020,12:30,DACIA ARENA - STADIO FRIULI (Udine),EUGENIO ABBATTISTA,Udinese,0,0,Hellas Verona
16/02/2020,15:00,ALLIANZ STADIUM (Torino),DANIELE CHIFFI,Juventus,2,0,Brescia
16/02/2020,15:00,LUIGI FERRARIS (Genova),MASSIMILIANO IRRATI,Sampdoria,1,5,Fiorentina
16/02/2020,15:00,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),MAURIZIO MARIANI,Sassuolo,0,1,Parma
16/02/2020,18:00,UNIPOL DOMUS (Cagliari),DANIELE DOVERI,Cagliari,0,1,Napoli
16/02/2020,20:45,OLIMPICO (Roma),GIANLUCA ROCCHI,Lazio,2,1,Inter
17/02/2020,20:45,GIUSEPPE MEAZZA (Milano),MICHAEL FABBRI,Milan,1,0,Torino
21/02/2020,20:45,MARIO RIGAMONTI (Brescia),DANIELE ORSATO,Brescia,1,2,Napoli
22/02/2020,15:00,RENATO DALL'ARA (Bologna),FABRIZIO PASQUA,Bologna,1,1,Udinese
22/02/2020,18:00,PAOLO MAZZA (Ferrara),FEDERICO LA PENNA,Spal,1,2,Juventus
22/02/2020,20:45,ARTEMIO FRANCHI (Firenze),GIANPAOLO CALVARESE,Fiorentina,1,1,Milan
23/02/2020,12:30,LUIGI FERRARIS (Genova),FABIO MARESCA,Genoa,2,3,Lazio
23/02/2020,18:00,OLIMPICO (Roma),PIERO GIACOMELLI,Roma,4,0,Lecce
20/06/2020,19:30,OLIMPICO GRANDE TORINO (Torino),MASSIMILIANO IRRATI,Torino,1,1,Parma
20/06/2020,21:45,MARCANTONIO BENTEGODI (Verona),GIANLUCA MANGANIELLO,Hellas Verona,2,1,Cagliari
21/06/2020,19:30,GEWISS STADIUM (Bergamo),DANIELE CHIFFI,Atalanta,4,1,Sassuolo
21/06/2020,21:45,GIUSEPPE MEAZZA (Milano),MAURIZIO MARIANI,Inter,2,1,Sampdoria
29/02/2020,15:00,OLIMPICO (Roma),ROSARIO ABISSO,Lazio,2,0,Bologna
29/02/2020,20:45,SAN PAOLO (Napoli),MAURIZIO MARIANI,Napoli,2,1,Torino
01/03/2020,15:00,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),DAVIDE MASSA,Lecce,2,7,Atalanta
01/03/2020,18:00,UNIPOL DOMUS (Cagliari),MARCO DI BELLO,Cagliari,3,4,Roma
08/03/2020,13:45,ENNIO TARDINI (Parma),LUCA PAIRETTO,Parma,0,1,Spal
08/03/2020,15:00,GIUSEPPE MEAZZA (Milano),DANIELE DOVERI,Milan,1,2,Genoa
08/03/2020,15:00,LUIGI FERRARIS (Genova),PAOLO VALERI,Sampdoria,2,1,Hellas Verona
08/03/2020,18:00,DACIA ARENA - STADIO FRIULI (Udine),MICHAEL FABBRI,Udinese,0,0,Fiorentina
08/03/2020,20:45,ALLIANZ STADIUM (Torino),MARCO GUIDA,Juventus,2,0,Inter
09/03/2020,18:30,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),GIANLUCA MANGANIELLO,Sassuolo,3,0,Brescia
22/06/2020,19:30,ARTEMIO FRANCHI (Firenze),FEDERICO LA PENNA,Fiorentina,1,1,Brescia
22/06/2020,19:30,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),PAOLO VALERI,Lecce,1,4,Milan
22/06/2020,21:45,RENATO DALL'ARA (Bologna),GIANLUCA ROCCHI,Bologna,0,2,Juventus
23/06/2020,19:30,MARCANTONIO BENTEGODI (Verona),FABRIZIO PASQUA,Hellas Verona,0,2,Napoli
23/06/2020,19:30,PAOLO MAZZA (Ferrara),ROSARIO ABISSO,Spal,0,1,Cagliari
23/06/2020,21:45,LUIGI FERRARIS (Genova),PIERO GIACOMELLI,Genoa,1,4,Parma
23/06/2020,21:45,OLIMPICO GRANDE TORINO (Torino),FABIO MARESCA,Torino,1,0,Udinese
24/06/2020,19:30,GIUSEPPE MEAZZA (Milano),DAVIDE MASSA,Inter,3,3,Sassuolo
24/06/2020,21:45,GEWISS STADIUM (Bergamo),DANIELE ORSATO,Atalanta,3,2,Lazio
24/06/2020,21:45,OLIMPICO (Roma),GIANPAOLO CALVARESE,Roma,2,1,Sampdoria
26/06/2020,21:45,ALLIANZ STADIUM (Torino),MARCO PICCININI,Juventus,4,0,Lecce
27/06/2020,17:15,MARIO RIGAMONTI (Brescia),MASSIMILIANO IRRATI,Brescia,2,2,Genoa
27/06/2020,19:30,UNIPOL DOMUS (Cagliari),MAURIZIO MARIANI,Cagliari,4,2,Torino
27/06/2020,21:45,OLIMPICO (Roma),MICHAEL FABBRI,Lazio,2,1,Fiorentina
28/06/2020,17:15,GIUSEPPE MEAZZA (Milano),PIERO GIACOMELLI,Milan,2,0,Roma
28/06/2020,19:30,SAN PAOLO (Napoli),LUCA PAIRETTO,Napoli,3,1,Spal
28/06/2020,19:30,LUIGI FERRARIS (Genova),DANIELE DOVERI,Sampdoria,1,2,Bologna
28/06/2020,19:30,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),ANTONIO GIUA,Sassuolo,3,3,Hellas Verona
28/06/2020,19:30,DACIA ARENA - STADIO FRIULI (Udine),MARCO DI BELLO,Udinese,2,3,Atalanta
28/06/2020,21:45,ENNIO TARDINI (Parma),FABIO MARESCA,Parma,1,2,Inter
30/06/2020,19:30,OLIMPICO GRANDE TORINO (Torino),DAVIDE MASSA,Torino,1,2,Lazio
30/06/2020,21:45,LUIGI FERRARIS (Genova),GIANPAOLO CALVARESE,Genoa,1,3,Juventus
01/07/2020,19:30,RENATO DALL'ARA (Bologna),JUAN LUCA SACCHI,Bologna,1,1,Cagliari
01/07/2020,19:30,GIUSEPPE MEAZZA (Milano),GIANLUCA MANGANIELLO,Inter,6,0,Brescia
01/07/2020,21:45,ARTEMIO FRANCHI (Firenze),DANIELE CHIFFI,Fiorentina,1,3,Sassuolo
01/07/2020,21:45,MARCANTONIO BENTEGODI (Verona),PAOLO VALERI,Hellas Verona,3,2,Parma
01/07/2020,21:45,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),GIANLUCA ROCCHI,Lecce,1,2,Sampdoria
01/07/2020,21:45,PAOLO MAZZA (Ferrara),MAURIZIO MARIANI,Spal,2,2,Milan
02/07/2020,19:30,GEWISS STADIUM (Bergamo),DANIELE DOVERI,Atalanta,2,0,Napoli
02/07/2020,21:45,OLIMPICO (Roma),MARCO GUIDA,Roma,0,2,Udinese
04/07/2020,17:15,ALLIANZ STADIUM (Torino),FABIO MARESCA,Juventus,4,1,Torino
04/07/2020,19:30,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),DAVIDE MASSA,Sassuolo,4,2,Lecce
04/07/2020,21:45,OLIMPICO (Roma),GIANPAOLO CALVARESE,Lazio,0,3,Milan
05/07/2020,17:15,GIUSEPPE MEAZZA (Milano),LUCA PAIRETTO,Inter,1,2,Bologna
05/07/2020,19:30,MARIO RIGAMONTI (Brescia),MARCO PICCININI,Brescia,2,0,Hellas Verona
05/07/2020,19:30,UNIPOL DOMUS (Cagliari),FEDERICO LA PENNA,Cagliari,0,1,Atalanta
05/07/2020,19:30,ENNIO TARDINI (Parma),ROSARIO ABISSO,Parma,1,2,Fiorentina
05/07/2020,19:30,LUIGI FERRARIS (Genova),PIERO GIACOMELLI,Sampdoria,3,0,Spal
05/07/2020,19:30,DACIA ARENA - STADIO FRIULI (Udine),DANIELE ORSATO,Udinese,2,2,Genoa
05/07/2020,21:45,SAN PAOLO (Napoli),GIANLUCA ROCCHI,Napoli,2,1,Roma
07/07/2020,19:30,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),FABIO MARESCA,Lecce,2,1,Lazio
07/07/2020,21:45,GIUSEPPE MEAZZA (Milano),MARCO GUIDA,Milan,4,2,Juventus
08/07/2020,19:30,ARTEMIO FRANCHI (Firenze),GIANLUCA MANGANIELLO,Fiorentina,0,0,Cagliari
08/07/2020,19:30,LUIGI FERRARIS (Genova),MAURIZIO MARIANI,Genoa,1,2,Napoli
08/07/2020,21:45,GEWISS STADIUM (Bergamo),ANTONIO GIUA,Atalanta,2,0,Sampdoria
08/07/2020,21:45,RENATO DALL'ARA (Bologna),FRANCESCO FOURNEAU,Bologna,1,2,Sassuolo
08/07/2020,21:45,OLIMPICO (Roma),MICHAEL FABBRI,Roma,2,1,Parma
08/07/2020,21:45,OLIMPICO GRANDE TORINO (Torino),DANIELE DOVERI,Torino,3,1,Brescia
09/07/2020,19:30,PAOLO MAZZA (Ferrara),DANIELE CHIFFI,Spal,0,3,Udinese
09/07/2020,21:45,MARCANTONIO BENTEGODI (Verona),MASSIMILIANO IRRATI,Hellas Verona,2,2,Inter
11/07/2020,17:15,OLIMPICO (Roma),MARCO DI BELLO,Lazio,1,2,Sassuolo
11/07/2020,19:30,MARIO RIGAMONTI (Brescia),GIANPAOLO CALVARESE,Brescia,0,3,Roma
11/07/2020,21:45,ALLIANZ STADIUM (Torino),PIERO GIACOMELLI,Juventus,2,2,Atalanta
12/07/2020,17:15,LUIGI FERRARIS (Genova),MARCO GUIDA,Genoa,2,0,Spal
12/07/2020,19:30,UNIPOL DOMUS (Cagliari),DANIELE ORSATO,Cagliari,0,0,Lecce
12/07/2020,19:30,ARTEMIO FRANCHI (Firenze),DANIELE CHIFFI,Fiorentina,1,1,Hellas Verona
12/07/2020,19:30,ENNIO TARDINI (Parma),MAURIZIO MARIANI,Parma,2,2,Bologna
12/07/2020,19:30,DACIA ARENA - STADIO FRIULI (Udine),PAOLO VALERI,Udinese,1,3,Sampdoria
12/07/2020,21:45,SAN PAOLO (Napoli),FEDERICO LA PENNA,Napoli,2,2,Milan
13/07/2020,21:45,GIUSEPPE MEAZZA (Milano),DAVIDE MASSA,Inter,3,1,Torino
14/07/2020,21:45,GEWISS STADIUM (Bergamo),GIANLUCA MANGANIELLO,Atalanta,6,2,Brescia
15/07/2020,19:30,RENATO DALL'ARA (Bologna),MARCO PICCININI,Bologna,1,1,Napoli
15/07/2020,19:30,GIUSEPPE MEAZZA (Milano),MASSIMILIANO IRRATI,Milan,3,1,Parma
15/07/2020,19:30,LUIGI FERRARIS (Genova),LUCA PAIRETTO,Sampdoria,3,0,Cagliari
15/07/2020,21:45,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),MARCO GUIDA,Lecce,1,3,Fiorentina
15/07/2020,21:45,OLIMPICO (Roma),FABIO MARESCA,Roma,2,1,Hellas Verona
15/07/2020,21:45,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),PAOLO VALERI,Sassuolo,3,3,Juventus
15/07/2020,21:45,DACIA ARENA - STADIO FRIULI (Udine),ROSARIO ABISSO,Udinese,0,0,Lazio
16/07/2020,19:30,OLIMPICO GRANDE TORINO (Torino),GIANLUCA ROCCHI,Torino,3,0,Genoa
16/07/2020,21:45,PAOLO MAZZA (Ferrara),ANTONIO GIUA,Spal,0,4,Inter
18/07/2020,17:15,MARCANTONIO BENTEGODI (Verona),ROSARIO ABISSO,Hellas Verona,1,1,Atalanta
18/07/2020,19:30,UNIPOL DOMUS (Cagliari),GIOVANNI AYROLDI,Cagliari,1,1,Sassuolo
18/07/2020,21:45,GIUSEPPE MEAZZA (Milano),DAVIDE MASSA,Milan,5,1,Bologna
19/07/2020,17:15,ENNIO TARDINI (Parma),GIANPAOLO CALVARESE,Parma,2,3,Sampdoria
19/07/2020,19:30,MARIO RIGAMONTI (Brescia),EUGENIO ABBATTISTA,Brescia,2,1,Spal
19/07/2020,19:30,ARTEMIO FRANCHI (Firenze),MAURIZIO MARIANI,Fiorentina,2,0,Torino
19/07/2020,19:30,LUIGI FERRARIS (Genova),DANIELE DOVERI,Genoa,2,1,Lecce
19/07/2020,19:30,SAN PAOLO (Napoli),DANIELE CHIFFI,Napoli,2,1,Udinese
19/07/2020,21:45,OLIMPICO (Roma),MARCO DI BELLO,Roma,2,2,Inter
20/07/2020,21:45,ALLIANZ STADIUM (Torino),DANIELE ORSATO,Juventus,2,1,Lazio
21/07/2020,19:30,GEWISS STADIUM (Bergamo),FEDERICO LA PENNA,Atalanta,1,0,Bologna
21/07/2020,21:45,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),LUCA PAIRETTO,Sassuolo,1,2,Milan
22/07/2020,19:30,ENNIO TARDINI (Parma),ANTONIO GIUA,Parma,2,1,Napoli
22/07/2020,21:45,GIUSEPPE MEAZZA (Milano),PIERO GIACOMELLI,Inter,0,0,Fiorentina
22/07/2020,21:45,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),FABIO MARESCA,Lecce,3,1,Brescia
22/07/2020,21:45,LUIGI FERRARIS (Genova),MARCO GUIDA,Sampdoria,1,2,Genoa
22/07/2020,21:45,PAOLO MAZZA (Ferrara),GIANLUCA MANGANIELLO,Spal,1,6,Roma
22/07/2020,21:45,OLIMPICO GRANDE TORINO (Torino),PAOLO VALERI,Torino,1,1,Hellas Verona
23/07/2020,19:30,DACIA ARENA - STADIO FRIULI (Udine),MASSIMILIANO IRRATI,Udinese,2,1,Juventus
23/07/2020,21:45,OLIMPICO (Roma),MARCO PICCININI,Lazio,2,1,Cagliari
24/07/2020,21:45,GIUSEPPE MEAZZA (Milano),DANIELE DOVERI,Milan,1,1,Atalanta
25/07/2020,17:15,MARIO RIGAMONTI (Brescia),LORENZO MAGGIONI,Brescia,1,2,Parma
25/07/2020,19:30,LUIGI FERRARIS (Genova),DAVIDE MASSA,Genoa,0,3,Inter
25/07/2020,21:45,SAN PAOLO (Napoli),GIANLUCA AURELIANO,Napoli,2,0,Sassuolo
26/07/2020,17:15,RENATO DALL'ARA (Bologna),GIANPAOLO CALVARESE,Bologna,3,2,Lecce
26/07/2020,19:30,UNIPOL DOMUS (Cagliari),FABRIZIO PASQUA,Cagliari,0,1,Udinese
26/07/2020,19:30,MARCANTONIO BENTEGODI (Verona),MANUEL VOLPI,Hellas Verona,1,5,Lazio
26/07/2020,19:30,OLIMPICO (Roma),DANIELE CHIFFI,Roma,2,1,Fiorentina
26/07/2020,19:30,PAOLO MAZZA (Ferrara),ROSARIO ABISSO,Spal,1,1,Torino
26/07/2020,21:45,ALLIANZ STADIUM (Torino),FRANCESCO FOURNEAU,Juventus,2,0,Sampdoria
28/07/2020,19:30,ENNIO TARDINI (Parma),LUCA PAIRETTO,Parma,1,2,Atalanta
28/07/2020,21:45,GIUSEPPE MEAZZA (Milano),PAOLO VALERI,Inter,2,0,Napoli
29/07/2020,19:30,MARCANTONIO BENTEGODI (Verona),SIMONE SOZZA,Hellas Verona,3,0,Spal
29/07/2020,19:30,OLIMPICO (Roma),LUCA MASSIMI,Lazio,2,0,Brescia
29/07/2020,19:30,LUIGI FERRARIS (Genova),FABRIZIO PASQUA,Sampdoria,1,4,Milan
29/07/2020,19:30,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),FABIO MARESCA,Sassuolo,5,0,Genoa
29/07/2020,19:30,DACIA ARENA - STADIO FRIULI (Udine),DANIELE ORSATO,Udinese,1,2,Lecce
29/07/2020,21:45,UNIPOL DOMUS (Cagliari),DAVIDE GHERSINI,Cagliari,2,0,Juventus
29/07/2020,21:45,ARTEMIO FRANCHI (Firenze),MARCO DI BELLO,Fiorentina,4,0,Bologna
29/07/2020,21:45,OLIMPICO GRANDE TORINO (Torino),MARCO PICCININI,Torino,2,3,Roma
01/08/2020,18:00,MARIO RIGAMONTI (Brescia),MICHAEL FABBRI,Brescia,1,1,Sampdoria
01/08/2020,20:45,GEWISS STADIUM (Bergamo),PIERO GIACOMELLI,Atalanta,0,2,Inter
01/08/2020,20:45,ALLIANZ STADIUM (Torino),GIANLUCA ROCCHI,Juventus,1,3,Roma
01/08/2020,20:45,GIUSEPPE MEAZZA (Milano),MARCO SERRA,Milan,3,0,Cagliari
01/08/2020,20:45,SAN PAOLO (Napoli),GIANPAOLO CALVARESE,Napoli,3,1,Lazio
02/08/2020,18:00,PAOLO MAZZA (Ferrara),ALESSANDRO PRONTERA,Spal,1,3,Fiorentina
02/08/2020,20:45,RENATO DALL'ARA (Bologna),ANTONIO DI MARTINO,Bologna,1,1,Torino
02/08/2020,20:45,LUIGI FERRARIS (Genova),MASSIMILIANO IRRATI,Genoa,3,0,Hellas Verona
02/08/2020,20:45,ETTORE GIARDINIERO - VIA DEL MARE (Lecce),MAURIZIO MARIANI,Lecce,3,4,Parma
02/08/2020,20:45,MAPEI STADIUM - CITTA' DEL TRICOLORE (Reggio Emilia),DANIEL AMABILE,Sassuolo,0,1,Udinese
